Word,Translation,Part of Speech,Gender / Plural,Pronunciation,Example Sentence,Topic,Subtopic,Learned?
vulpe,fox,noun,feminine,/vulˈpe/,Vulpea este vicleană.,Animal,Wild,FALSE
vultur,eagle,noun,masculine,/ˈvultur/,Vulturul are gheare puternice.,Animal,Wild,FALSE
alb,white,adjective ,masculine / albi,/alb/,Zăpada este albă.,Colour,,FALSE
albastru,blue,adjective ,masculine / albaștri,/alˈbastru/,Cerul este albastru.,Colour,,FALSE
galben,yellow,adjective ,masculine / galbeni,/ˈgalben/,Floarea este galbenă.,Colour,,FALSE
gri,grey,adjective ,—,/gri/,Cerul este gri.,Colour,,FALSE
maro,brown,adjective ,—,/ˈmaro/,Copacul este maro.,Colour,,FALSE
negru,black,adjective ,masculine / negri,/ˈnegru/,Pisica este neagră.,Colour,,FALSE
portocaliu,orange,adjective ,masculine / portocalii,/por.toˈka.lju/,Mărul este portocaliu.,Colour,,FALSE
roșu,red,adjective ,masculine / roșii,/ˈroʃu/,Tricoul este roșu.,Colour,,FALSE
roz,pink,adjective ,—,/roz/,Trandafirul este roz.,Colour,,FALSE
verde,green,adjective ,—,/ˈverde/,Frunza este verde.,Colour,,FALSE
violet,purple,adjective ,—,/vioˈlet/,Rochia este violet.,Colour,,FALSE
măr,apple,noun,masculine / mere,/mər/,Mănânc un măr roșu.,Food,Fruits,FALSE
banană,banana,noun,feminine / banane,/baˈnanə/,Banana este dulce.,Food,Fruits,FALSE
portocală,orange,noun,feminine / portocale,/porˈto.kalə/,Îmi place să beau suc de portocală.,Food,Fruits,FALSE
lămâie,lemon,noun,feminine / lămâi,/ləˈmɨ.je/,Lămâia este acră.,Food,Fruits,FALSE
căpșună,strawberry,noun,feminine / căpșuni,/kəpˈʃu.nə/,Căpșuna este dulce și roșie.,Food,Fruits,FALSE
strugure,grape,noun,masculine / struguri,/ˈstru.gu.re/,Strugurii sunt copți.,Food,Fruits,FALSE
piersică,peach,noun,feminine / piersici,/pjeˈrsi.kə/,Piersica este suculentă.,Food,Fruits,FALSE
pere,pear,noun,feminine / pere,/ˈpe.re/,Perele sunt gustoase.,Food,Fruits,FALSE
pepene verde,watermelon,noun,masculine / pepeni verzi,/ˈpe.pe.ne ˈver.də/,Pepenii verzi sunt răcoritori.,Food,Fruits,FALSE
pepene galben,melon,noun,masculine / pepeni galbeni,/ˈpe.pe.ne ˈgal.ben/,Pepenii galbeni sunt dulci.,Food,Fruits,FALSE
cireșă,cherry,noun,feminine / cireșe,/ciˈre.ʃə/,Cireșele sunt mici și roșii.,Food,Fruits,FALSE
vișină,sour cherry,noun,feminine / vișine,/ˈvi.ʃi.nə/,Vișinele sunt acre.,Food,Fruits,FALSE
prună,plum,noun,feminine / prune,/ˈpru.nə/,Prunele sunt coapte.,Food,Fruits,FALSE
zmeură,raspberry,noun,feminine / zmeure,/ˈzme.u.rə/,Zmeura este delicată.,Food,Fruits,FALSE
mure,blackberry,noun,feminine / mure,/ˈmu.re/,Murele cresc în tufișuri.,Food,Fruits,FALSE
kiwi,kiwi,noun,neuter / kiwi,/ˈki.wi/,Kiwi este acrișor.,Food,Fruits,FALSE
ananas,pineapple,noun,masculine / ananași,/a.naˈnas/,Ananasul este tropical.,Food,Fruits,FALSE
mandarină,mandarin,noun,feminine / mandarine,/man.daˈri.nə/,Mandarina se curăță ușor.,Food,Fruits,FALSE
afine,blueberry,noun,feminine / afine,/ˈa.fi.ne/,Afinele sunt mici și albastre.,Food,Fruits,FALSE
coacăză neagră,blackcurrant,noun,feminine / coacăze negre,/ˈko.a.kə.zə ˈne.gre/,Coacăzele negre sunt sănătoase.,Food,Fruits,FALSE
coacăză roșie,redcurrant,noun,feminine / coacăze roșii,/ˈko.a.kə.zə ˈro.ʃi.i/,Coacăzele roșii sunt acrișoare.,Food,Fruits,FALSE
rodie,pomegranate,noun,feminine / rodii,/ˈro.di.e/,Rodia are multe semințe.,Food,Fruits,FALSE
piersicuță,nectarine,noun,feminine / piersicuțe,/pjer.siˈku.t͡sə/,Piersicuțele sunt netede.,Food,Fruits,
smochină,fig,noun,feminine / smochine,/smoˈki.nə/,Smochinele sunt moi.,Food,Fruits,FALSE
cocos,coconut,noun,neuter / nuci de cocos,/ˈko.kos/,Cocosul are apă dulce.,Food,Fruits,FALSE
litchi,lychee,noun,neuter,/ˈli.t͡ʃi/,Litchi este exotic.,Food,Fruits,FALSE
cartof,potato,noun,masculine / cartofi,/karˈtof/,Cartofii sunt fierți.,Food,Vegetables,FALSE
morcov,carrot,noun,masculine / morcovi,/morˈkov/,Tai morcovul pentru salată.,Food,Vegetables,FALSE
roșie,tomato,noun,feminine / roșii,/roˈʃi.e/,Roșia este coaptă.,Food,Vegetables,FALSE
castravete,cucumber,noun,masculine / castraveți,/kastraˈvet/,Castravetele este crocant.,Food,Vegetables,FALSE
varză,cabbage,noun,feminine / verze,/ˈvar.zə/,Varza este folosită în salată.,Food,Vegetables,FALSE
spanac,spinach,noun,masculine,/spaˈnak/,Spanacul este sănătos.,Food,Vegetables,FALSE
ardei,bell pepper,noun,masculine / ardei,/arˈdej/,Ardeiul este roșu și crocant.,Food,Vegetables,FALSE
vinete,eggplant,noun,feminine / vinete,/viˈne.te/,Vinetele se coc la cuptor.,Food,Vegetables,FALSE
salată verde,lettuce,noun,feminine / salate verzi,/saˈla.tə ˈver.də/,Salata verde este proaspătă.,Food,Vegetables,FALSE
broccoli,broccoli,noun,neuter,/ˈbro.ko.li/,Broccoli este sănătos.,Food,Vegetables,FALSE
conopidă,cauliflower,noun,feminine / conopide,/ko.noˈpi.də/,Conopida este albă.,Food,Vegetables,FALSE
usturoi,garlic,noun,masculine / căței,/us.tuˈroj/,Usturoiul are gust puternic.,Food,Vegetables,FALSE
ceapă,onion,noun,feminine / cepe,/ˈt͡ʃe.pə/,Ceapa mă face să plâng.,Food,Vegetables,FALSE
ardei iute,chili pepper,noun,masculine / ardei iuți,/arˈdej ˈju.t͡sʲ/,Ardeiul iute este picant.,Food,Vegetables,FALSE
fasole,bean,noun,feminine / fasole,/faˈso.le/,Fasolea fierbe lent.,Food,Vegetables,FALSE
mazăre,pea,noun,feminine / mazăre,/ˈma.zə.re/,Mazărea este verde.,Food,Vegetables,FALSE
dovlecel,zucchini,noun,masculine / dovlecei,/dov.leˈt͡ʃel/,Dovlecelul este fraged.,Food,Vegetables,FALSE
dovleac,pumpkin,noun,masculine / dovleci,/dovˈleak/,Dovleacul este portocaliu.,Food,Vegetables,FALSE
ciupercă,mushroom,noun,feminine / ciuperci,/t͡ʃuˈper.kə/,Ciupercile cresc în pădure.,Food,Vegetables,FALSE
țelină,celery,noun,feminine / țeline,/ˈt͡se.li.nə/,Țelina are miros puternic.,Food,Vegetables,FALSE
calmar,squid,noun,masculine,/kalˈmar/,Calmarul înoată rapid.,Food,Seafood,FALSE
caracatiță,octopus,noun,feminine,/karaˈkat͡sit͡sə/,Caracatița are tentacule lungi.,Food,Seafood,FALSE
crevete,shrimp,noun,masculine,/kreˈvet͡s/,Creveții sunt mici și roz.,Food,Seafood,FALSE
homar,lobster,noun,masculine,/hoˈmar/,Homarul este scump la restaurant.,Food,Seafood,FALSE
mâncare,food / meal,noun,feminine / mâncăruri,/mɨnˈka.re/,Mâncarea este delicioasă.,Food,,FALSE
ou,egg,noun,neuter / ouă,/ou/,Eu mănânc un ou la micul dejun.,Food,,FALSE
rac,crab,noun,masculine,/rak/,Racul se ascunde sub pietre.,Food,Seafood,FALSE
cină,dinner,noun (meal),feminine / cine,/ˈt͡ʃinə/,Cină este la ora 19.,Food,,FALSE
mic dejun,breakfast,noun (meal),masculine / mic dejunuri,/mik deˈd͡ʒun/,Eu mănânc ou și pâine la micul dejun.,Food,,FALSE
prânz,lunch,noun (meal),masculine / prânzuri,/prɨnz/,La prânz mâncăm supă și pâine.,Food,,FALSE
lapte,milk,noun,neuter / lacte,ˈlap.te,Beau lapte dimineața.,Food,Dairy,FALSE
brânză,cheese,noun,feminine / brânzeturi,ˈbrɨnzə,Brânza este sărată.,Food,Dairy,FALSE
unt,butter,noun,neuter / unturi,unt,Folosesc unt la gătit.,Food,Dairy,FALSE
iaurt,yogurt,noun,neuter / iaurturi,jaˈurt,Mănânc iaurt cu fructe.,Food,Dairy,FALSE
frișcă,"cream, whipped cream",noun,feminine / frișci,ˈfriʃkə,Pun frișcă pe prăjitură.,Food,Dairy,FALSE
cașcaval,yellow cheese,noun,neuter / cașcavaluri,kaʃkaˈval,Cașcavalul merge bine cu pâine.,Food,Dairy,FALSE
vită,beef,noun,feminine / vite,ˈvitə,Carnea de vită este gustoasă.,Food,Meat,FALSE
pui,chicken,noun,masculine / pui,puj,Mănânc pui la prânz.,Food,Meat,FALSE
porc,pork,noun,masculine / porci,pork,Carnea de porc este fragedă.,Food,Meat,FALSE
oaie,lamb,noun,feminine / oi,ˈo.a.je,Mănânc carne de oaie duminica.,Food,Meat,FALSE
curcan,turkey,noun,masculine / curcani,kurˈkan,Carnea de curcan este slabă.,Food,Meat,FALSE
șuncă,ham,noun,feminine / șunci,ˈʃunka,Eu pun șuncă pe sandviș.,Food,Meat,FALSE
cârnat,sausage,noun,masculine / cârnați,kɨrˈnat͡s,Cârnatul este picant.,Food,Meat,FALSE
bacon,bacon,noun,neuter / baconuri,ˈbejkən,Prăjesc bacon dimineața.,Food,Meat,FALSE
pește,fish,noun,masculine / pești,ˈpeʃte,Mănânc pește o dată pe săptămână.,Food,Seafood,FALSE
somon,salmon,noun,masculine / somoni,soˈmon,Somonul este sănătos.,Food,Seafood,FALSE
ton,tuna,noun,masculine / toni,ton,Îmi place tonul în salată.,Food,Seafood,FALSE
cod,cod,noun,masculine / coduri,kod,Codul este un pește alb.,Food,Seafood,FALSE
midie,mussel,noun,feminine / midii,ˈmidi.e,Midiile sunt proaspete.,Food,Seafood,FALSE
scoică,clam,noun,feminine / scoici,ˈskɔjkə,Scoicile sunt gustoase.,Food,Seafood,FALSE
stridie,oyster,noun,feminine / stridii,ˈstridi.e,Stridiile sunt scumpe.,Food,Seafood,FALSE
cochilie,scallop,noun,feminine / cochilii,koˈkili.e,Cochiliile sunt delicate.,Food,Seafood,FALSE
pâine,bread,noun,feminine / pâini,ˈpɨjne,Cumpăr pâine proaspătă.,Food,Bread and Grains,FALSE
chiflă,"bun, bread roll",noun,feminine / chifle,ˈkiflɐ,Mănânc o chiflă caldă.,Food,Bread and Grains,FALSE
covrig,pretzel,noun,masculine / covrigi,koˈvriɡ,Îmi place covrigul cu sare.,Food,Bread and Grains,FALSE
orez,rice,noun,neuter / orezuri,oˈrez,Gătesc orez cu legume.,Food,Bread and Grains,FALSE
paste,pasta,noun,feminine plural / paste,ˈpaste,Mănânc paste la cină.,Food,Bread and Grains,FALSE
cereale,cereal,noun,feminine plural / cereale,tʃereˈale,Mănânc cereale dimineața.,Food,Bread and Grains,FALSE
făină,flour,noun,feminine / făinuri,fəˈinə,Folosesc făină pentru prăjituri.,Food,Bread and Grains,FALSE
apă,water,noun,feminine / ape,ˈapə,Beau apă rece.,Food,Drinks,FALSE
suc,juice,noun,neuter / sucuri,suk,Beau un pahar de suc.,Food,Drinks,FALSE
ceai,tea,noun,neuter / ceaiuri,tʃaj,Beau ceai dimineața.,Food,Drinks,FALSE
cafea,coffee,noun,feminine / cafele,kaˈfea,Beau o cafea tare.,Food,Drinks,FALSE
lapte,milk,noun,neuter / lacte,ˈlap.te,Beau lapte cald.,Food,Drinks,FALSE
limonadă,lemonade,noun,feminine / limonade,limoˈnadə,Îmi place limonada rece.,Food,Drinks,FALSE
bere,beer,noun,feminine / beri,ˈbere,Beau o bere la cină.,Food,Drinks,FALSE
vin,wine,noun,neuter / vinuri,vin,Beau vin roșu.,Food,Drinks,FALSE
prăjitură,cake,noun,feminine / prăjituri,prəʒiˈturə,Mănânc prăjitură cu ciocolată.,Food,Sweets and Desserts,FALSE
ciocolată,chocolate,noun,feminine / ciocolate,tʃokoˈlatə,Mănânc ciocolată neagră.,Food,Sweets and Desserts,FALSE
înghețată,ice cream,noun,feminine / înghețate,ɨŋɡeˈt͡satə,Îmi place înghețata de vanilie.,Food,Sweets and Desserts,FALSE
biscuit,biscuit,noun,masculine / biscuiți,biskuˈit,Mănânc biscuiți dimineața.,Food,Sweets and Desserts,FALSE
tort,cake (layered),noun,neuter / torturi,tort,Tortul este delicios.,Food,Sweets and Desserts,FALSE
plăcintă,pie,noun,feminine / plăcinte,pləˈt͡sintə,Mănânc plăcintă cu mere.,Food,Sweets and Desserts,FALSE
gogoașă,donut,noun,feminine / gogoși,goˈɡoʃă,Mănânc o gogoașă dulce.,Food,Sweets and Desserts,FALSE
miere,honey,noun,feminine / miere,ˈmjere,Pun miere în ceai.,Food,Sweets and Desserts,FALSE
bunic,grandfather,noun (person),masculine / bunici,/ˈbunik/,Bunicul stă în grădină.,People,Family,FALSE
bunică,grandmother,noun (person),feminine / bunici,/buˈnikə/,Bunica gătește plăcinte.,People,Family,FALSE
copil,child,noun (person),masculine / copii,/koˈpil/,Copilul se joacă în parc.,People,Family,FALSE
fată,girl,noun (person),feminine / fete,/ˈfatə/,Fata citește o carte.,People,Family,FALSE
frate,brother,noun (person),masculine / frați,/ˈfrate/,Fratele meu este student.,People,Family,FALSE
mamă,mother,noun (person),feminine / mame,/ˈmamə/,Mama gătește supă.,People,Family,FALSE
soră,sister,noun (person),feminine / surori,/ˈsorə/,Sora mea cântă la pian.,People,Family,FALSE
tată,father,noun (person),masculine / tați,/ˈtatə/,Tatăl citește ziarul.,People,Family,FALSE
ea,she,pronoun,singular,/ea/,Ea citește o carte.,People,Pronouns,FALSE
ei,they,pronoun,plural,/ej/,Ei sunt la școală.,People,Pronouns,FALSE
el,he,pronoun,singular,/el/,El este prietenul meu.,People,Pronouns,FALSE
ele,they,pronoun,plural,/ele/,Ele sunt acasă.,People,Pronouns,FALSE
eu,I,pronoun,singular,/eu/,Eu merg la școală.,People,Pronouns,FALSE
noi,we,pronoun,plural,/noi/,Noi mergem la piață.,People,Pronouns,FALSE
tu,you,pronoun,singular,/tu/,Tu vorbești română.,People,Pronouns,FALSE
voi,you,pronoun,plural,/voi/,Voi sunteți bineveniți.,People,Pronouns,FALSE
îl,him / it,pronoun / object,masculine / neuter,/ɨl/,Îl văd pe băiat.,People,Pronouns,FALSE
o,her / it,pronoun / object,feminine,/o/,O văd pe fată.,People,Pronouns,FALSE
băiat,boy,noun (person),masculine / băieți,/bəˈjat/,Băiatul merge la școală.,People,,FALSE
femeie,woman,noun (person),feminine / femei,/ˈfemeje/,Femeia gătește.,People,,FALSE
om,man,noun (person),masculine / oameni,/om/,Omul este fericit.,People,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
bun,good,adjective,—,/bun/,El este un băiat bun.,,,FALSE
frumos,beautiful,adjective,—,/fruˈmos/,Fata este frumoasă.,,,FALSE
lung,long,adjective,—,/luŋ/,Drumul este lung.,,,FALSE
mare,big,adjective,—,/ˈmare/,Casa este mare.,,,FALSE
mic,small,adjective,—,/mik/,Frunza este mică.,,,FALSE
nou,new,adjective,—,/nou/,Am cumpărat un telefon nou.,,,FALSE
rău,bad,adjective,—,/rəu/,Vremea este rea.,,,FALSE
scurt,short,adjective,—,/skurt/,Rochia este scurtă.,,,FALSE
urât,ugly,adjective,—,/uˈræt/,Clădirea este urâtă.,,,FALSE
vechi,old,adjective,—,/ˈvekʲ/,Această carte este veche.,,,FALSE
ce,what,question word,—,/tʃe/,Ce faci?,,,FALSE
cine,who,question word,—,/ˈtʃi.ne/,Cine este acolo?,,,FALSE
bea,to drink,verb,—,/a be.a/,Ea bea apă.,,,FALSE
cumpăra,to buy,verb,—,/kumˈpə.rə/,Noi cumpărăm pâine.,,,FALSE
găti,to cook,verb,—,/ˈgɨ.ti/,Mama gătește ciorbă.,,,FALSE
mânca,to eat,verb,—,/a ˈmɨn.ka/,Eu mănânc un măr.,,,FALSE
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
,,,,,,,,FALSE
